Z	N	sc
0	1	-3.4313068018900026
1	0	-3.4313068018900026
1	1	-5.400135230011458
1	2	-4.717480345768095
2	1	-4.717480345768095
3	0	3.5999992288996765
1	3	1.5505355486958194
2	2	-4.286137775660649
3	1	1.5505355486958194
1	4	1.439369071685718
2	3	1.439369071685718
3	2	1.439369071685718
4	1	1.439369071685718
1	5	-2.272345811096784
2	4	1.3544800332370528
3	3	5.76306252079479
4	2	1.3544800332370528
5	1	-2.272345811096784
1	6	-2.158558160230001
2	5	-2.158558160230001
3	4	5.474408324757064
4	3	5.474408324757064
5	2	-2.158558160230001
2	6	-2.0646089086378367
3	5	1.8727324747179352
4	4	5.236076907878072
5	3	1.8727324747179352
6	2	-2.0646089086378367
2	7	-3.6191541344275606
3	6	1.8006161055299685
4	5	1.8006161055299685
5	4	1.8006161055299685
6	3	1.8006161055299685
2	8	-3.494276129334139
3	7	0.309508577467966
4	6	-0.3652662004512024
5	5	-1.4308407743570513
6	4	-2.441870703327055
7	3	0.309508577467966
3	8	0.29981723058597254
4	7	0.29981723058597254
5	6	-1.386117743321563
6	5	-1.386117743321563
7	4	0.29981723058597254
8	3	0.29981723058597254
3	9	3.9218361198368257
4	8	0.2912342379423194
5	7	-2.814356662444027
6	6	0.9013372866908185
7	5	-2.814356662444027
8	4	0.2912342379423194
3	10	3.818598492905892
4	9	3.818598492905892
5	8	-2.74028132913179
6	7	-2.74028132913179
7	6	-2.74028132913179
8	5	-2.74028132913179
9	4	3.818598492905892
4	10	3.7254405944938753
5	9	0.8269011588949979
6	8	-1.1227892791853264
7	7	-4.181465347232745
8	6	-2.6734386415608924
9	5	0.8269011588949979
4	11	4.128025901427009
5	10	0.8080801336353716
6	9	0.8080801336353716
7	8	-4.086416708433944
8	7	-4.086416708433944
9	6	0.8080801336353716
10	5	0.8080801336353716
4	12	4.040169864478571
5	11	1.252876318346921
6	10	0.7908613548286212
7	9	-1.1583931584169136
8	8	-3.9966043037541112
9	7	-1.1583931584169136
10	6	0.7908613548286212
5	12	1.227792319096352
6	11	1.227792319096352
7	10	-1.1352289613734001
8	9	-1.6325562245189076
9	8	-1.6325562245189076
10	7	-1.1352289613734001
11	6	1.227792319096352
5	13	-0.6934709121676974
6	12	1.2046019191325286
7	11	-0.669249956030626
8	10	-1.19332637775301
9	9	-1.1331177895376072
10	8	-1.1908697865216027
11	7	-0.669249956030626
5	14	-0.6811078189821842
6	13	-0.6811078189821842
7	12	-0.6573062389748543
8	11	-0.7316818703620811
9	10	-2.1871140593306677
10	9	-2.2681131463848487
11	8	-0.6952230530860106
12	7	-0.6573062389748543
5	15	-1.3278547367444276
6	14	-0.6695835588931232
7	13	-2.4173899882488286
8	12	-0.7417366791085556
9	11	-2.314859687613648
10	10	-3.0816072215952772
11	9	-2.621290363624553
12	8	-1.710520000087513
5	16	-1.3064544863844958
6	15	-1.3064544863844958
7	14	-2.378410940768447
8	13	-2.2827058798046664
9	12	-2.1516507394623545
10	11	-2.8944252036454827
11	10	-2.8944252036454827
12	9	-2.571511110199765
13	8	-2.214994229504896
6	16	-1.2863718442617937
7	15	-2.859017007902594
8	14	-2.3418315477570104
9	13	-0.9680978398336038
10	12	-2.887836421296356
11	11	-2.616334408679279
12	10	-2.887836421296356
13	9	-0.9680978398336038
14	8	-2.341814851100935
6	17	0.4208036040871548
7	16	-2.816987041700486
8	15	-2.816987041700486
9	14	-0.44089718064753924
10	13	-0.830063399735252
11	12	-2.579197341566328
12	11	-2.5801823048389565
13	10	-0.8819498664636285
14	9	-1.3812660037996807
7	17	-0.9116688676126614
8	16	-2.7773072449861615
9	15	-0.6112514767810922
10	14	-0.04680401127836831
11	13	-0.8047988861590056
12	12	-2.6424109281741153
13	11	-0.7678154350341515
14	10	-1.6908017975364373
15	9	-0.7035298021368135
7	18	-0.8993692677956915
8	17	-1.080690288210178
9	16	-0.7626422479359576
10	15	-0.37364127748332976
11	14	-0.9876745604940993
12	13	-0.7808990383235255
13	12	-0.7808990383235255
14	11	-1.8901774194857808
15	10	-0.7505317283717545
8	18	-0.8877089998537713
9	17	0.7949558041989349
10	16	-0.7644258947397589
11	15	-1.2131195628487603
12	14	-1.8705683439757763
13	13	-0.052462460673496025
14	12	-1.9548233423331567
15	11	-0.9646309523943728
16	10	-0.7904785907086875
8	19	-0.6808207114532934
9	18	0.7850330372052667
10	17	0.7794179335503486
11	16	-1.1471890967663967
12	15	-1.1665711698884706
13	14	-3.1938977973657643
14	13	-3.1291083878819563
15	12	-0.9299383798571625
16	11	-0.8980652692211493
8	20	-0.6965680597585333
9	19	1.8127919276383864
10	18	1.6852996743742779
11	17	-0.2974241227101402
12	16	-1.136747962704817
13	15	-0.9551128740822605
14	14	-3.0914119002084703
15	13	-0.9551128740822605
16	12	-0.8872583567077186
17	11	0.8230407054304578
9	20	1.9141365041058407
10	19	1.9141365041058407
11	18	1.5509494019056547
12	17	-0.29397221501881177
13	16	-0.8305045839914555
14	15	-1.4163641014645236
15	14	-1.4698523654587916
16	13	-0.8203628445788809
17	12	0.7833331414674376
18	11	0.4905394506538414
9	21	1.4208052739742243
10	20	2.091949050667381
11	19	2.162055072070416
12	18	0.8112098678710709
13	17	0.04988448683718616
14	16	-1.730633618628758
15	15	-1.945740204916433
16	14	-1.7078310990418686
17	13	-0.7146465704155389
18	12	0.4850131877650483
9	22	-0.052761656595862405
10	21	1.4053688513993166
11	20	2.313998009756915
12	19	2.1263470891624365
13	18	-0.4146177107551239
14	17	-0.7152739033660964
15	16	-1.2968998856873668
16	15	-1.320695103626349
17	14	-0.7273639698455554
18	13	-0.9365736587363926
19	12	1.8711998212918388
10	22	-0.891689498611413
11	21	1.367806578689624
12	20	2.2896252267230466
13	19	0.5074232299698451
14	18	-0.4102633157663149
15	17	-0.6047902592881655
16	16	-1.1743193207781815
17	15	-0.4461926930877098
18	14	-0.9267215958699353
19	13	0.6980517675926876
10	23	-1.013700860150493
11	22	-0.7675482832435137
12	21	1.3638037527642837
13	20	0.42896935433896033
14	19	0.44375441720774234
15	18	-0.8952770327210828
16	17	-0.5217201099311524
17	16	-0.2936867208413787
18	15	-0.5217201099311524
19	14	0.3927993029715253
20	13	0.43141137691191034
10	24	-0.9857001917018806
11	23	-0.9894626214652362
12	22	-0.2933435081274638
13	21	0.5794116044141902
14	20	0.38890285824322746
15	19	-0.33931304749580704
16	18	-0.29078440831858643
17	17	0.5729896803711654
18	16	-0.34294649065759586
19	15	-0.5305380617033961
20	14	0.38890285824322746
11	24	-0.9068785729107276
12	23	-0.9895032948079461
13	22	0.536992556540099
14	21	0.6256007091608353
15	20	-0.5496842402685616
16	19	-0.08823428961409263
17	18	0.5674862503707345
18	17	0.5674862503707345
19	16	-0.4976801482175688
20	15	-0.5496842402685616
21	14	0.5902282948421771
11	25	-1.4434617493341193
12	24	-0.9401256718338118
13	23	-0.5284537251169468
14	22	1.0427938068296498
15	21	-0.29326846510934956
16	20	-0.5445553025676872
17	19	0.7952423362027048
18	18	0.5823096000322039
19	17	0.8126801968444397
20	16	-0.5445553025676872
21	15	-0.21233034218209923
11	26	-1.276840839911074
12	25	-1.509459391430255
13	24	-0.35987016746867084
14	23	-0.6797298279301458
15	22	-0.19987912573310496
16	21	-0.2906098344194561
17	20	0.8699289600265274
18	19	0.8530933221738906
19	18	0.8202024006952797
20	17	0.8277414737589197
21	16	-0.21040739327690972
22	15	-0.20156039079006405
11	27	-0.7652982432480258
12	26	-1.3485224890139307
13	25	-0.8752711236390951
14	24	-0.5727293379096636
15	23	-1.186078473297357
16	22	-0.19811702853451152
17	21	0.7830733787293411
18	20	0.9124268404493705
19	19	1.230993428448869
20	18	0.9124268404493705
21	17	0.8572919597536384
22	16	-0.19811702853451152
11	28	-0.7244754284254213
12	27	-0.7587144366174243
13	26	-0.9812405887890918
14	25	-1.1229497652990403
15	24	-1.0039323727071405
16	23	-1.1725666010462419
17	22	0.9558604178449741
18	21	1.0474234266325766
19	20	1.1660133665242256
20	19	1.0809206686654989
21	18	0.8499055927067047
22	17	0.8878523120463342
23	16	-1.0637854896391445
12	28	-1.1671100946093702
13	27	-2.3058924524547137
14	26	-1.0933766131412312
15	25	-1.7038269633335403
16	24	-0.9809719753887975
17	23	-0.1404249516422169
18	22	1.1645677369152736
19	21	1.4386236440151379
20	20	1.0635401903806496
21	19	1.4708984637991307
22	18	1.1645677369152736
23	17	-0.045092086133877274
12	29	-0.45899395167350576
13	28	-2.2819418847851693
14	27	-2.320491434173732
15	26	-1.5640320474306009
16	25	-1.4123861652977894
17	24	-0.0928140335279295
18	23	0.21626962294203622
19	22	1.5073817301265535
20	21	1.580354626873941
21	20	1.580354626873941
22	19	1.5130748212313847
23	18	-0.08090798706302849
24	17	-0.0928140335279295
13	29	-1.6536671827791452
14	28	-2.263696434889539
15	27	-2.3177834643594224
16	26	-1.666718798878378
17	25	-1.0057432200239873
18	24	0.7563412607028113
19	23	0.997760823763997
20	22	1.753531327397809
21	21	1.4482258978496247
22	20	1.7455393943840818
23	19	0.9134290181908682
24	18	-0.08025903892075803
13	30	-1.6407591594468158
14	29	-1.6166456450055193
15	28	-1.777588942845341
16	27	-1.8982201135095238
17	26	-0.9077539161138475
18	25	-1.1218140263009673
19	24	0.9934370228252192
20	23	1.2809787939224861
21	22	1.6904189827881737
22	21	1.6904189827881737
23	20	1.2809787939224861
24	19	0.786775513815769
25	18	-1.0204985032156628
14	30	-1.5919941916620246
15	29	-0.9361424436629022
16	28	-2.030250217892444
17	27	-1.9425181632719841
18	26	-0.6995616910497802
19	25	-0.06454649222678199
20	24	1.4028642803617686
21	23	1.1529443184846286
22	22	2.4165122866093043
23	21	0.8451222573953601
24	20	1.3901977716332112
25	19	-0.27469815570998435
14	31	-1.1919922743700226
15	30	-1.400318957929585
16	29	-1.688600367784602
17	28	-2.0389094474156764
18	27	-2.0440138160307697
19	26	-0.07636911825238712
20	25	0.04010309707541637
21	24	1.3003737713585224
22	23	1.3003737713585224
23	22	1.4839253516064446
24	21	0.5783823960150585
25	20	0.0034254799495556654
26	19	-0.3356716138524689
15	31	-0.45816783502300495
16	30	-1.6674466877483383
17	29	-1.1243267772911167
18	28	-2.1150214110032266
19	27	-1.740115254045918
20	26	0.11580766600150127
21	25	0.07278590875080226
22	24	1.6670656291421437
23	23	-1.220852007820099
24	22	-0.04682007500423424
25	21	-0.6500508903878881
26	20	0.1049101213159247
15	32	-0.4535766095797271
16	31	-0.49502488135397016
17	30	-0.9442067159458247
18	29	-1.2412206818587492
19	28	-1.9049951107488141
20	27	-1.9390589850791002
21	26	0.44903935941033524
22	25	-0.03720698021459157
23	24	-1.2370580566473564
24	23	-1.2469413088075498
25	22	-0.6454166471949065
26	21	-0.18360496890466038
27	20	-1.8617268018955428
16	32	-0.44488607422863424
17	31	0.24344265031311352
18	30	-0.9451383729553982
19	29	-0.5781420221209146
20	28	-2.010104500842772
21	27	-1.5997308482142216
22	26	0.59547018793387
23	25	-2.0665584848829894
24	24	-1.22895323604223
25	23	-2.0995430804257467
26	22	0.59547018793387
27	21	-1.5997308482142216
28	20	-2.010104500842772
16	33	-0.27887668596338244
17	32	0.24178329947369548
18	31	0.27818415880642533
19	30	-0.5738507780738473
20	29	-0.44076953146100095
21	28	-1.5856441586399797
22	27	-1.567827507067932
23	26	-1.9312430020022475
24	25	-2.0809081666515112
25	24	-2.0851682933429174
26	23	-1.78895924896392
27	22	-1.5887774157422427
28	21	-1.6468816305581413
17	33	0.21029578670993487
18	32	0.23912893724696005
19	31	0.3995455214475214
20	30	-0.43781334409732153
21	29	-0.3512787272455853
22	28	-1.3156781144318757
23	27	-2.4130246586295243
24	26	-2.0390126533026205
25	25	-2.8936152896602607
26	24	-2.0390126533026205
27	23	-2.244765653792456
28	22	-1.3994701046860882
17	34	0.20077944653507984
18	33	0.20077944653507984
19	32	0.5960016919004829
20	31	0.22563582152292838
21	30	-0.3489675802388774
22	29	-0.06943568099268305
23	28	-1.8416426327919453
24	27	-2.415704039297907
25	26	-2.882326524200721
26	25	-2.879847185291169
27	24	-2.282859503904888
28	23	-1.8416426327919453
17	35	-0.23770899786109112
18	34	0.19947376515187898
19	33	1.467699002720451
20	32	0.22417552134334073
21	31	0.5893402336575946
22	30	0.1907508356116523
23	29	-1.0108104826837234
24	28	-1.604763401064588
25	27	-3.3459335946987494
26	26	-2.5693266150188947
27	25	-3.4835134545228357
28	24	-1.7298988072780048
29	23	-1.3949089068872809
18	35	-0.22820464005076246
