Z	N	sc
0	1	-3.4313068018900026
1	0	-3.4313068018900026
1	1	-5.400135230011458
1	2	-4.717480345768095
2	1	-4.717480345768095
3	0	3.5999992288996765
1	3	1.5505355486958194
2	2	-4.286137775660649
3	1	1.5505355486958194
1	4	1.439369071685718
2	3	1.439369071685718
3	2	1.439369071685718
4	1	1.439369071685718
1	5	-2.272345811096784
2	4	1.3544800332370528
3	3	5.76306252079479
4	2	1.3544800332370528
5	1	-2.272345811096784
1	6	-2.158558160230001
2	5	-2.158558160230001
3	4	5.474408324757064
4	3	5.474408324757064
5	2	-2.158558160230001
2	6	-2.0646089086378367
3	5	1.8727324747179352
4	4	5.236076907878072
5	3	1.8727324747179352
6	2	-2.0646089086378367
2	7	-3.6191541344275606
3	6	1.8006161055299685
4	5	1.8006161055299685
5	4	1.8006161055299685
6	3	1.8006161055299685
2	8	-3.494276129334139
3	7	0.309508577467966
4	6	1.7384612050635724
5	5	-1.4308407743570513
6	4	1.7384612050635724
7	3	0.309508577467966
3	8	0.29981723058597254
4	7	0.29981723058597254
5	6	-1.386117743321563
6	5	-1.386117743321563
7	4	0.29981723058597254
8	3	0.29981723058597254
3	9	3.9218361198368257
4	8	0.2912342379423194
5	7	-2.814356662444027
6	6	-1.3465116544813327
7	5	-2.814356662444027
8	4	0.2912342379423194
3	10	3.818598492905892
4	9	3.818598492905892
5	8	-2.74028132913179
6	7	-2.74028132913179
7	6	-2.74028132913179
8	5	-2.74028132913179
9	4	3.818598492905892
4	10	3.7254405944938753
5	9	0.8269011588949979
6	8	-2.6734386415608924
7	7	-4.181465347232745
8	6	-2.6734386415608924
9	5	0.8269011588949979
4	11	4.128025901427009
5	10	0.8080801336353716
6	9	0.8080801336353716
7	8	-4.086416708433944
8	7	-4.086416708433944
9	6	0.8080801336353716
10	5	0.8080801336353716
4	12	4.040169864478571
5	11	1.252876318346921
6	10	0.7908613548286212
7	9	-1.1583931584169136
8	8	-3.9994621486418964
9	7	-1.1583931584169136
10	6	0.7908613548286212
5	12	1.227792319096352
6	11	1.227792319096352
7	10	-1.1352289613734001
8	9	-1.1352289613734001
9	8	-1.1352289613734001
10	7	-1.1352289613734001
11	6	1.227792319096352
5	13	-0.6934709121676974
6	12	1.2046019191325286
7	11	-0.669249956030626
8	10	-1.1138139380674374
9	9	1.9933353297355438
10	8	-1.1138139380674374
11	7	-0.669249956030626
5	14	-0.6811078189821842
6	13	-0.6811078189821842
7	12	-0.6573062389748543
8	11	-0.6573062389748543
9	10	1.9577530965614756
10	9	1.9577530965614756
11	8	-0.6573062389748543
12	7	-0.6573062389748543
5	15	-1.3278547367444276
6	14	-0.6695835588931232
7	13	-2.4173899882488286
8	12	-0.6461727022434616
9	11	2.367357301987738
10	10	1.9245843917707361
11	9	2.367357301987738
12	8	-0.6461727022434616
5	16	-1.3064544863844958
6	15	-1.3064544863844958
7	14	-2.378410940768447
8	13	-2.378410940768447
9	12	2.329176063226555
10	11	2.329176063226555
11	10	2.329176063226555
12	9	2.329176063226555
13	8	-2.378410940768447
6	16	-1.2863718442617937
7	15	-2.859017007902594
8	14	-2.3418315477570104
9	13	0.5134370687650858
10	12	2.2933452361922377
11	11	2.728888594673492
12	10	2.2933452361922377
13	9	0.5134370687650858
14	8	-2.3418315477570104
6	17	0.4208036040871548
7	16	-2.816987041700486
8	15	-2.816987041700486
9	14	0.5058908216648774
10	13	0.5058908216648774
11	12	2.6887455408185588
12	11	2.6887455408185588
13	10	0.5058908216648774
14	9	0.5058908216648774
7	17	-0.9116688676126614
8	16	-2.777325795057152
9	15	0.05653591606045438
10	14	0.49876988880674844
11	13	0.7742162562587964
12	12	2.6508645190376683
13	11	0.7742162562587964
14	10	0.49876988880674844
15	9	0.05653591606045438
7	18	-0.8993692677956915
8	17	-0.8993692677956915
9	16	0.05577663449639658
10	15	0.05577663449639658
11	14	0.7637439566890407
12	13	0.7637439566890407
13	12	0.7637439566890407
14	11	0.7637439566890407
15	10	0.05577663449639658
8	18	-0.8877089998537713
9	17	2.019576712298772
10	16	0.05505686285550837
11	15	0.29976604432954446
12	14	0.7538156765637609
13	13	-0.9713621498289058
14	12	0.7538156765637609
15	11	0.29976604432954446
16	10	0.05505686285550837
8	19	-0.705042833280686
9	18	1.9943478313851983
10	17	1.9943478313851983
11	16	0.2960025605134433
12	15	0.2960025605134433
13	14	-0.9592264017161369
14	13	-0.9592264017161369
15	12	0.2960025605134433
16	11	0.2960025605134433
8	20	-0.6965680597585333
9	19	2.140583266480121
10	18	1.9703352194285344
11	17	2.2215384636357385
12	16	0.29242029623105736
13	15	-1.531890745306896
14	14	-0.9476756958868577
15	13	-1.531890745306896
16	12	0.29242029623105736
17	11	2.2215384636357385
9	20	2.1157069700645934
10	19	2.1157069700645934
11	18	2.1956931725612776
12	17	2.1956931725612776
13	16	-1.514082349252817
14	15	-1.514082349252817
15	14	-1.514082349252817
16	13	-1.514082349252817
17	12	2.1956931725612776
18	11	2.1956931725612776
9	21	2.8908464050283555
10	20	2.091949050667381
11	19	2.3394421342266014
12	18	2.1710095256555633
13	17	0.23914228977025687
14	16	-1.4970745137735548
15	15	-2.1504943091034647
16	14	-1.4970745137735548
17	13	0.23914228977025687
18	12	2.1710095256555633
9	22	2.8594376515183058
10	21	2.8594376515183058
11	20	2.313998009756915
12	19	2.313998009756915
13	18	0.23653221062897956
14	17	0.23653221062897956
15	16	-2.127130201854129
16	15	-2.127130201854129
17	14	0.23653221062897956
18	13	0.23653221062897956
19	12	2.313998009756915
10	22	2.8293517030981548
11	21	3.0709840181965546
12	20	2.2896252267230466
13	19	0.39686408999898504
14	18	0.23403194226966662
15	17	-0.7311663598349014
16	16	-2.10475010381208
17	15	-0.7311663598349014
18	14	0.23403194226966662
19	13	0.39686408999898504
10	23	2.439313890115841
11	22	3.039633146096662
12	21	3.039633146096662
13	20	0.39280309939897506
14	19	0.39280309939897506
15	18	-0.7237114257709436
16	17	-0.7237114257709436
17	16	-0.7237114257709436
18	15	-0.7237114257709436
19	14	0.39280309939897506
20	13	0.39280309939897506
10	24	2.41517556361282
11	23	2.652184641730514
12	22	3.009523925800977
13	21	1.1551560948219048
14	20	0.38890285824322746
15	19	-0.5550124600450772
16	18	-0.7165518303376075
17	17	0.7796174290562021
18	16	-0.7165518303376075
19	15	-0.5550124600450772
20	14	0.38890285824322746
11	24	2.626669316784046
12	23	2.626669316784046
13	22	1.144037745814785
14	21	1.144037745814785
15	20	-0.5496842402685616
16	19	-0.5496842402685616
17	18	0.7721306643037451
18	17	0.7721306643037451
19	16	-0.5496842402685616
20	15	-0.5496842402685616
21	14	1.144037745814785
11	25	1.2273022363655173
12	24	2.6021078308612005
13	23	0.7824796611427018
14	22	1.1333349903251246
15	21	0.2067236668259511
16	20	-0.5445553025676872
17	19	0.929013458109921
18	18	0.7649238950427844
19	17	0.929013458109921
20	16	-0.5445553025676872
21	15	0.2067236668259511
11	26	1.2161328084619072
12	25	1.2161328084619072
13	24	0.7753557228819545
14	23	0.7753557228819545
15	22	0.20483647603043664
16	21	0.20483647603043664
17	20	0.9205706923598882
18	19	0.9205706923598882
19	18	0.9205706923598882
20	17	0.9205706923598882
21	16	0.20483647603043664
22	15	0.20483647603043664
11	27	-1.0903550057272469
12	26	1.2053587008268778
13	25	-0.5817636642285606
14	24	0.7684839014115141
15	23	-0.1413187143449477
16	22	0.20301603129223622
17	21	1.6486833689833702
18	20	0.9124268404493705
19	19	1.0818970979320284
20	18	0.9124268404493705
21	17	1.6486833689833702
22	16	0.20301603129223622
11	28	-1.0809659706245611
12	27	-1.0809659706245611
13	26	-0.5767579327823569
14	25	-0.5767579327823569
15	24	-0.14010820480734765
16	23	-0.14010820480734765
17	22	1.634474826118435
18	21	1.634474826118435
19	20	1.0725617667590086
20	19	1.0725617667590086
21	18	1.634474826118435
22	17	1.634474826118435
23	16	-0.14010820480734765
12	28	-1.0718926456416966
13	27	-2.8286679881413193
14	26	-0.5719205496170616
15	25	-1.4662986560128957
16	24	-0.1389384483277354
17	23	1.283173323645883
18	22	1.6207439599849067
19	21	1.7822889892299827
20	20	1.0635401903806496
21	19	1.7822889892299827
22	18	1.6207439599849067
23	17	1.283173323645883
12	29	0.4650878737872972
13	28	-2.8054905110820982
14	27	-2.8054905110820982
15	26	-1.4542868218998137
16	25	-1.4542868218998137
17	24	1.2726588116718176
18	23	1.2726588116718176
19	22	1.7676763497474894
20	21	1.7676763497474894
21	20	1.7676763497474894
22	19	1.7676763497474894
23	18	1.2726588116718176
24	17	1.2726588116718176
13	29	-1.2146040345855909
14	28	-2.78305483753752
15	27	-3.663048711793863
16	26	-1.442659450887163
17	25	-0.043410907131146814
18	24	1.2624808176718716
19	23	1.4247999057782863
20	22	1.753531327397809
21	21	2.4542661359573685
22	20	1.753531327397809
23	19	1.4247999057782863
24	18	1.2624808176718716
13	30	-1.2051268311415697
14	29	-1.2051268311415697
15	28	-3.634437220506129
16	27	-3.634437220506129
17	26	-0.04306816617474851
18	25	-0.04306816617474851
19	24	1.4136620596345892
20	23	1.4136620596345892
21	22	2.435096506632817
22	21	2.435096506632817
23	20	1.4136620596345892
24	19	1.4136620596345892
25	18	-0.04306816617474851
14	30	-1.1959391127230674
15	29	-2.014358777070356
16	28	-3.6066994733293996
17	27	-2.229109149244323
18	26	-0.04273586594899825
19	25	0.11754934789678373
20	24	1.4028642803617686
21	23	2.099155952527326
22	22	2.4165122866093043
23	21	2.099155952527326
24	20	1.4028642803617686
25	19	0.11754934789678373
14	31	-0.6505571561056058
15	30	-1.999337219546419
16	29	-1.999337219546419
17	28	-2.212469770000098
18	27	-2.212469770000098
19	26	0.11666562685627468
20	25	0.11666562685627468
21	24	2.0834886063926206
22	23	2.0834886063926206
23	22	2.0834886063926206
24	21	2.0834886063926206
25	20	0.11666562685627468
26	19	0.11666562685627468
15	31	-1.391611803859746
16	30	-1.9847543522374735
17	29	-0.6113215391442282
18	28	-2.1963162182469205
19	27	-2.0388122375636613
20	26	0.11580766600150127
21	25	0.8018672296961995
22	24	2.068278720364674
23	23	1.7493537961515813
24	22	2.068278720364674
25	21	0.8018672296961995
26	20	0.11580766600150127
15	32	-1.3816840305747746
16	31	-1.3816840305747746
17	30	-0.6069464943136609
18	29	-0.6069464943136609
19	28	-2.0242547369015256
20	27	-2.0242547369015256
21	26	0.7961375463385139
22	25	0.7961375463385139
23	24	1.736853614268739
24	23	1.736853614268739
25	22	0.7961375463385139
26	21	0.7961375463385139
27	20	-2.0242547369015256
16	32	-1.3720340534725892
17	31	0.03724891894182747
18	30	-0.6026937823304479
19	29	-0.4438072867445726
20	28	-2.010104500842772
21	27	-1.3337003347313612
22	26	0.7905681312564639
23	25	0.4761297821607968
24	24	1.7247030799505865
25	23	0.4761297821607968
26	22	0.7905681312564639
27	21	-1.3337003347313612
28	20	-2.010104500842772
16	33	0.6582452636846483
17	32	0.03699933089114893
18	31	0.03699933089114893
19	30	-0.44076953146100095
20	29	-0.44076953146100095
21	28	-1.3245666132429506
22	27	-1.3245666132429506
23	26	0.4728637972626757
24	25	0.4728637972626757
25	24	0.4728637972626757
26	23	0.4728637972626757
27	22	-1.3245666132429506
28	21	-1.3245666132429506
17	33	2.1213007842029583
18	32	0.03675647727050091
19	31	0.22713477923207392
20	30	-0.43781334409732153
21	29	0.19324464633723437
22	28	-1.3156781144318757
23	27	-1.6258725325136538
24	26	0.4696854655151128
25	25	-0.7620140888905098
26	24	0.4696854655151128
27	23	-1.6258725325136538
28	22	-1.3156781144318757
17	34	2.1073597390416126
18	33	2.1073597390416126
19	32	0.22563582152292838
20	31	0.22563582152292838
21	30	0.19198141596143614
22	29	0.19198141596143614
23	28	-1.6151799789907955
24	27	-1.6151799789907955
25	26	-0.7570057432700423
26	25	-0.7570057432700423
27	24	-1.6151799789907955
28	23	-1.6151799789907955
17	35	3.2618110532553146
18	34	2.093778569387837
19	33	2.3540470730553125
20	32	0.22417552134334073
21	31	0.8501338532392992
22	30	0.1907508356116523
23	29	-0.16164725627334064
24	28	-1.604763401064588
25	27	-2.8204659581459737
26	26	-0.7521266812850627
27	25	-2.8204659581459737
28	24	-1.604763401064588
29	23	-0.16164725627334064
18	35	3.2411789267101767
19	34	2.3391493061454867
20	33	2.3391493061454867
21	32	0.8447608800947819
22	31	0.8447608800947819
23	30	-0.1606238855212041
24	29	-0.1606238855212041
25	28	-2.8026190497688503
26	27	-2.8026190497688503
27	26	-2.8026190497688503
28	25	-2.8026190497688503
